09:36:00 INFO:Start training with [gpu(0)]
09:52:49 INFO:Epoch[9] Batch [2680]	Speed: 51.83 samples/sec	Train-Perplexity=4.096805
09:52:56 INFO:Epoch[9] Batch [2700]	Speed: 54.96 samples/sec	Train-Perplexity=4.417343
09:53:04 INFO:Epoch[9] Batch [2720]	Speed: 50.71 samples/sec	Train-Perplexity=4.802459
09:53:12 INFO:Epoch[9] Batch [2740]	Speed: 50.92 samples/sec	Train-Perplexity=4.612832
09:53:19 INFO:Epoch[9] Batch [2760]	Speed: 52.47 samples/sec	Train-Perplexity=4.385366
09:53:28 INFO:Epoch[9] Batch [2780]	Speed: 49.36 samples/sec	Train-Perplexity=4.558363
09:53:35 INFO:Epoch[9] Batch [2800]	Speed: 55.37 samples/sec	Train-Perplexity=4.633367
09:53:42 INFO:Epoch[9] Batch [2820]	Speed: 59.08 samples/sec	Train-Perplexity=4.433947
09:53:49 INFO:Epoch[9] Batch [2840]	Speed: 52.69 samples/sec	Train-Perplexity=4.226446
09:53:56 INFO:Epoch[9] Batch [2860]	Speed: 55.18 samples/sec	Train-Perplexity=4.236957
09:54:04 INFO:Epoch[9] Batch [2880]	Speed: 52.49 samples/sec	Train-Perplexity=4.428537
09:54:11 INFO:Epoch[9] Batch [2900]	Speed: 56.02 samples/sec	Train-Perplexity=4.435670
09:54:19 INFO:Epoch[9] Batch [2920]	Speed: 54.20 samples/sec	Train-Perplexity=4.435086
09:54:26 INFO:Epoch[9] Batch [2940]	Speed: 54.25 samples/sec	Train-Perplexity=4.468308
09:54:34 INFO:Epoch[9] Batch [2960]	Speed: 47.28 samples/sec	Train-Perplexity=4.398512
09:54:42 INFO:Epoch[9] Batch [2980]	Speed: 50.03 samples/sec	Train-Perplexity=4.365894
09:54:50 INFO:Epoch[9] Batch [3000]	Speed: 55.43 samples/sec	Train-Perplexity=4.143837
09:54:57 INFO:Epoch[9] Batch [3020]	Speed: 51.64 samples/sec	Train-Perplexity=4.369741
09:55:05 INFO:Epoch[9] Batch [3040]	Speed: 51.85 samples/sec	Train-Perplexity=4.532761
09:55:13 INFO:Epoch[9] Batch [3060]	Speed: 52.96 samples/sec	Train-Perplexity=4.270141
09:55:20 INFO:Epoch[9] Batch [3080]	Speed: 55.06 samples/sec	Train-Perplexity=4.458777
09:55:27 INFO:Epoch[9] Batch [3100]	Speed: 54.37 samples/sec	Train-Perplexity=4.470529
09:55:35 INFO:Epoch[9] Batch [3120]	Speed: 51.92 samples/sec	Train-Perplexity=4.501074
09:55:43 INFO:Epoch[9] Batch [3140]	Speed: 51.40 samples/sec	Train-Perplexity=4.356365
09:55:49 INFO:Epoch[9] Batch [3160]	Speed: 59.72 samples/sec	Train-Perplexity=4.436739
09:55:57 INFO:Epoch[9] Batch [3180]	Speed: 53.80 samples/sec	Train-Perplexity=4.249435
09:56:04 INFO:Epoch[9] Batch [3200]	Speed: 56.20 samples/sec	Train-Perplexity=4.486704
09:56:11 INFO:Epoch[9] Batch [3220]	Speed: 55.01 samples/sec	Train-Perplexity=4.374581
09:56:19 INFO:Epoch[9] Batch [3240]	Speed: 52.07 samples/sec	Train-Perplexity=4.228971
09:56:26 INFO:Epoch[9] Batch [3260]	Speed: 55.16 samples/sec	Train-Perplexity=4.413980
09:56:34 INFO:Epoch[9] Batch [3280]	Speed: 54.20 samples/sec	Train-Perplexity=4.311441
09:56:41 INFO:Epoch[9] Batch [3300]	Speed: 52.55 samples/sec	Train-Perplexity=4.322956
09:56:49 INFO:Epoch[9] Batch [3320]	Speed: 52.89 samples/sec	Train-Perplexity=4.414315
09:56:56 INFO:Epoch[9] Batch [3340]	Speed: 55.66 samples/sec	Train-Perplexity=4.514404
09:57:03 INFO:Epoch[9] Batch [3360]	Speed: 53.64 samples/sec	Train-Perplexity=4.357509
09:57:11 INFO:Epoch[9] Batch [3380]	Speed: 54.03 samples/sec	Train-Perplexity=4.128045
09:57:19 INFO:Epoch[9] Batch [3400]	Speed: 50.84 samples/sec	Train-Perplexity=4.295312
09:57:27 INFO:Epoch[9] Batch [3420]	Speed: 50.71 samples/sec	Train-Perplexity=4.257107
09:57:34 INFO:Epoch[9] Batch [3440]	Speed: 53.70 samples/sec	Train-Perplexity=4.389261
09:57:41 INFO:Epoch[9] Batch [3460]	Speed: 54.85 samples/sec	Train-Perplexity=4.302987
09:57:48 INFO:Epoch[9] Batch [3480]	Speed: 59.18 samples/sec	Train-Perplexity=4.443939
09:57:56 INFO:Epoch[9] Batch [3500]	Speed: 53.37 samples/sec	Train-Perplexity=4.419683
09:58:03 INFO:Epoch[9] Batch [3520]	Speed: 51.52 samples/sec	Train-Perplexity=4.441510
09:58:10 INFO:Epoch[9] Batch [3540]	Speed: 58.05 samples/sec	Train-Perplexity=4.491150
09:58:18 INFO:Epoch[9] Batch [3560]	Speed: 54.53 samples/sec	Train-Perplexity=4.545155
09:58:25 INFO:Epoch[9] Batch [3580]	Speed: 53.85 samples/sec	Train-Perplexity=4.552123
09:58:32 INFO:Epoch[9] Batch [3600]	Speed: 55.03 samples/sec	Train-Perplexity=4.483000
09:58:40 INFO:Epoch[9] Batch [3620]	Speed: 52.84 samples/sec	Train-Perplexity=4.400757
09:58:47 INFO:Epoch[9] Batch [3640]	Speed: 55.41 samples/sec	Train-Perplexity=4.363932
